Setor,Código,Ação,Tipo,Qtde. Teórica,Part. (%),Part. (%)Acum.
Financ e Outros / Explor Imóveis,ALOS3,ALLOS,ON NM,532.616.595,561.0,1098.0
Financ e Outros / Explor Imóveis,IGTI11,IGUATEMI S.A,UNT N1,217.622.138,225.0,1098.0
Financ e Outros / Explor Imóveis,MULT3,MULTIPLAN,ON N2,268.505.432,312.0,1098.0
Financ e Outros / Holdings Divers,ITSA4,ITAUSA,PN N1,5.560.910.983,2675.0,2675.0
Financ e Outros / Interms Financs,BBDC3,BRADESCO,ON N1,1.489.259.656,806.0,17150.0
Financ e Outros / Interms Financs,BBDC4,BRADESCO,PN N1,5.135.772.281,3048.0,17150.0
Financ e Outros / Interms Financs,BBAS3,BRASIL,ON NM,2.842.247.534,3604.0,17150.0
Financ e Outros / Interms Financs,BPAC11,BTGP BANCO,UNT N2,1.150.645.866,1742.0,17150.0
Financ e Outros / Interms Financs,ITUB4,ITAUUNIBANCO,PN N1,4.740.126.023,7493.0,17150.0
Financ e Outros / Interms Financs,SANB11,SANTANDER BR,UNT,342.918.449,457.0,17150.0
Financ e Outros / Previd Seguros,BBSE3,BBSEGURIDADE,ON NM,671.750.768,1076.0,1198.0
Financ e Outros / Previd Seguros,IRBR3,IRBBRASIL RE,ON NM,81.838.843,122.0,1198.0
Financeiro e Outros/Serviços Financeiros Diversos,B3SA3,B3,ON NM,5.602.790.110,3022.0,3318.0
Financeiro e Outros/Serviços Financeiros Diversos,CIEL3,CIELO,ON NM,1.095.462.329,296.0,3318.0
Mats Básicos / Madeira e Papel,DXCO3,DEXCO,ON NM,302.768.240,100.0,2572.0
Mats Básicos / Madeira e Papel,KLBN11,KLABIN S/A,UNT N2,777.422.123,778.0,2572.0
Mats Básicos / Madeira e Papel,SUZB3,SUZANO S.A.,ON NM,664.114.223,1694.0,2572.0
Mats Básicos / Mineração,BRAP4,BRADESPAR,PN N1,250.992.819,230.0,13644.0
Mats Básicos / Mineração,CMIN3,CSNMINERACAO,ON N2,1.110.559.345,290.0,13644.0
Mats Básicos / Mineração,VALE3,VALE,ON NM,4.427.123.466,13124.0,13644.0
Mats Básicos / Químicos,BRKM5,BRASKEM,PNA N1,265.877.867,244.0,244.0
Mats Básicos / Sid Metalurgia,GGBR4,GERDAU,PN N1,1.246.339.197,1091.0,2013.0
Mats Básicos / Sid Metalurgia,GOAU4,GERDAU MET,PN N1,660.411.219,343.0,2013.0
Mats Básicos / Sid Metalurgia,CSNA3,SID NACIONAL,ON,600.865.451,381.0,2013.0
Mats Básicos / Sid Metalurgia,USIM5,USIMINAS,PNA N1,515.117.391,198.0,2013.0
"Petróleo, Gás e Biocombustíveis",RRRP3,3R PETROLEUM,ON NM,238.441.689,314.0,18115.0
"Petróleo, Gás e Biocombustíveis",CSAN3,COSAN,ON NM,1.168.966.848,787.0,18115.0
"Petróleo, Gás e Biocombustíveis",PETR3,PETROBRAS,ON N2,2.150.495.108,4196.0,18115.0
"Petróleo, Gás e Biocombustíveis",PETR4,PETROBRAS,PN N2,4.566.445.852,8274.0,18115.0
"Petróleo, Gás e Biocombustíveis",RECV3,PETRORECSA,ON NM,275.166.463,273.0,18115.0
"Petróleo, Gás e Biocombustíveis",PRIO3,PETRORIO,ON ATZ NM,804.019.521,1760.0,18115.0
"Petróleo, Gás e Biocombustíveis",RAIZ4,RAIZEN,PN N2,1.210.920.604,176.0,18115.0
"Petróleo, Gás e Biocombustíveis",UGPA3,ULTRAPAR,ON NM,1.087.228.062,1146.0,18115.0
"Petróleo, Gás e Biocombustíveis",VBBR3,VIBRA,ON NM,1.114.613.709,1189.0,18115.0
Saúde/Comércio Distr.,HYPE3,HYPERA,ON NM,409.490.388,557.0,2116.0
Saúde/Comércio Distr.,RADL3,RAIADROGASIL,ON NM,1.280.079.284,1559.0,2116.0
Saúde/SM Hosp An.Diag,FLRY3,FLEURY,ON NM,240.822.651,177.0,2623.0
Saúde/SM Hosp An.Diag,HAPV3,HAPVIDA,ON NM,4.394.332.306,858.0,2623.0
Saúde/SM Hosp An.Diag,RDOR3,REDE D OR,ON NM,1.144.776.793,1588.0,2623.0
Tec.Informação/Programas Servs,LWSA3,LWSA,ON NM,428.737.358,94.0,810.0
Tec.Informação/Programas Servs,TOTS3,TOTVS,ON NM,514.122.351,716.0,810.0
Telecomunicação,VIVT3,TELEF BRASIL,ON,408.343.528,941.0,1578.0
Telecomunicação,TIMS3,TIM,ON NM,807.896.814,637.0,1578.0
Utilidade Públ / Água Saneamento,SBSP3,SABESP,ON NM,340.001.799,1307.0,1307.0
Utilidade Públ / Energ Elétrica,CMIG4,CEMIG,PN N1,1.868.640.510,943.0,11082.0
Utilidade Públ / Energ Elétrica,CPLE6,COPEL,PNB N2,1.679.233.590,804.0,11082.0
Utilidade Públ / Energ Elétrica,CPFE3,CPFL ENERGIA,ON NM,187.732.538,293.0,11082.0
Utilidade Públ / Energ Elétrica,ELET3,ELETROBRAS,ON N1,1.945.040.784,3547.0,11082.0
Utilidade Públ / Energ Elétrica,ELET6,ELETROBRAS,PNB N1,268.733.136,544.0,11082.0
Utilidade Públ / Energ Elétrica,ENGI11,ENERGISA,UNT N2,326.265.871,731.0,11082.0
Utilidade Públ / Energ Elétrica,ENEV3,ENEVA,ON NM,1.579.630.820,985.0,11082.0
Utilidade Públ / Energ Elétrica,EGIE3,ENGIE BRASIL,ON NM,255.236.961,557.0,11082.0
Utilidade Públ / Energ Elétrica,EQTL3,EQUATORIAL,ON NM,1.155.467.134,1835.0,11082.0
Utilidade Públ / Energ Elétrica,TAEE11,TAESA,UNT N2,218.568.234,361.0,11082.0
Utilidade Públ / Energ Elétrica,TRPL4,TRAN PAULIST,PN N1,395.801.044,482.0,11082.0
